Student,Credits,Terms,payment,Residence,groceries
Jagnoor,23,1,9430,2800,1000
Jessy,24,2,9840,0,2500
Paola,25,3,10250,0,3000
Kathy,26,4,10660,0,1200
Rlizer,27,1,11070,0,1333
Hamed,28,2,11480,0,1236
Bivak,29,3,11890,2800,1256
Jose,24,4,9840,0,1254
Josue,25,12,10250,0,1253
andres,23,3,9430,0,1263
pedro,24,4,9840,0,1856
jacky,25,1,10250,2800,1253
jessy,26,2,10660,2800,1632
alex,27,3,11070,0,1532
sandra,26,4,10660,2800,1456
troy,25,1,10250,0,1852
thom,24,2,9840,2800,1862
michael,23,3,9430,0,1863
jeff,25,4,10250,2800,1863
diego,26,4,10660,0,1842
erick,26,3,10660,0,1965
francisco,27,4,11070,0,1678
jake,28,1,11480,0,1658
jian,27,1,11070,2800,1658
